System ID,UPC,Item,Qty.,Price,Category
210000000000,840493000000,Afends Indigo Meadow Short Sleeve Button Up Plaid Medium,23,$62.00 ,Accessories
210000000000,840777000000,Gift Card,6,$0.00 ,Men's
210000000000,840790000000,Jar Candle - Apple ''Witch,4,$10.00 ,Accessories
210000000000,840676000000,Hunter Deblanc CD Something to Hold On To,20,$10.00 ,Outerwear
210000000000,840495000000,Etching,14,$10.00 ,Accessories
210000000000,840521000000,COLLAR MULTI PAISLEY/ WHITE TIES APRON,10,$0.00 ,Women's
210000000000,840530000000,Ben Sherman L/S Button Up MA10838A Blue Depths Medium,15,$85.00 ,Women's
210000000000,840802000000,RVCA Glitch Trunk MUL 30,11,$60.00 ,Women's
210000000000,840712000000,Ben Sherman Long Sleeve Button Up MA10838A Blue Depths Small,18,$85.00 ,Outerwear
210000000000,840783000000,Small Shipping Box 9x6x4,9,$8.00 ,Accessories
210000000000,840891000000,RVCA Glitch Trunk MUL 31,6,$60.00 ,Men's
210000000000,840655000000,Ben Sherman Long Sleeve Button Up MA10838A London Brick Medium,7,$85.00 ,Men's
210000000000,840754000000,Special Order Fee,7,$15.00 ,Outerwear
210000000000,840565000000,RVCA Glitch Trunk MUL 36,16,$60.00 ,Outerwear
210000000000,840546000000,Ben Sherman Long Sleeve Button Up MA10838A London Brick Small,14,$85.00 ,Outerwear
210000000000,840613000000,RAIDER BLACK ONE,23,$59.95 ,Women's
210000000000,840861000000,Avva Long Sleeve Button Up A22143 Blue Medium,9,$95.00 ,Outerwear
210000000000,840837000000,Ben Sherman Long Sleeve Button Up MA10842A Pine Grove Small,15,$85.00 ,Outerwear
210000000000,840985000000,Goorin Bros Hat,6,$21.00 ,Men's
210000000000,840831000000,Avva Long Sleeve Button Up A22143 Blue XXX Large,4,$95.00 ,Outerwear
210000000000,840688000000,Ben Sherman Long Sleeve Button Up MA10844 Green Char Large,13,$85.00 ,Men's
210000000000,840894000000,GOBE H,10,$85.00 ,Outerwear
210000000000,840543000000,Avva Long Sleeve Button Up A422112 Black Small,11,$95.00 ,Outerwear
210000000000,840683000000,Ben Sherman Long Sleeve Button Up MA10844 Green Char Medium,16,$85.00 ,Women's
210000000000,840835000000,Nixon Ranger Chrono Leather All Black,14,$350.00 ,Accessories
210000000000,840780000000,Ben Sherman Long Sleeve Button Up MA10844 Green Char X Large,21,$85.00 ,Women's
210000000000,840518000000,Avva Long Sleeve Button Up A422112 Black XX Large,16,$95.00 ,Outerwear
